item,desc,sales,qty
913700,12 PC SM BNLS SKNL BRST,6960.58,73
913708,12 PC SM THIN SLICED BNLS BRST,4547.76,57
913714,12 PC SM TENDERLOINS,4322.16,55
913719,6 PC SM WHOLE FRYERS,3590.39,87
913732,12 PC SM DRUMSTICKS,350.23,11
913741,12 PC SM BN/IN THIGHS,447.34,11
913749,12 PC SM BONELESS SKNLS THIGHS,4125.56,67
913801,10 PC SM 7 TRAY B/S THIGHS,2281.51,30
913815,10 PC SM 7 TRAY BNLS BREAST,2242.85,27
920665,12 8OZ SM GRLLED CHKN BRST STRPS,588.92,17
920666,12 8OZ SM ROASTD CHKN BRST STRPS,173.52,5
921385,8 1 LB SM 92% GROUND CHICKN,2054.08,88
960439,2 5 LB ALL WHITE CKD DICE CHICKN,3578.69,105
