store,sales,skus
004,327.96,913700|913714|913719|913749|921385
011,362.52,921385|960439
063,139.15,913719|921385
124,92.58,920665|921385
128,283.90,913700|913708|913719|913749
129,983.37,913700|913708|913714|913749|913815|921385
131,774.92,913700|913708|913714|913749|921385
134,420.28,913700|913714|913749|921385
138,23.32,921385
162,42.43,913719
167,641.18,913700|913749|960439
186,740.48,913700|913719|913749|913801|921385
187,927.85,913700|913719|913801|913815|921385
211,3080.62,913700|913708|913714|913732|913741|913749|913801|913815|920665|921385
221,459.01,913719|960439
231,84.52,913708
240,179.73,913700|913719
247,66.06,913749
292,82.73,913749|921385
302,1054.92,913700|913708|913714|913719|913749|921385|960439
303,1980.11,913700|913708|913714|913719|913749|920665|920666|921385|960439
304,460.69,913700|913714|913719|913749|921385|960439
312,139.56,960439
325,2277.03,913700|913708|913714|913719|913749|913801|913815|921385
335,38.86,913719
337,34.70,920665
342,46.66,921385
354,306.23,913719|913749|913801
401,1172.13,913700|913708|913714|913719|913741|913749|921385
406,208.63,913700|920665|921385|960439
435,534.38,921385|960439
444,288.39,913700|913714|913749
445,1359.98,913700|913708|913714|913719|913732|913741|913749|913801|913815|920665|920666|921385
446,1096.43,913700|913708|913714|913719|913749|920665|921385|960439
447,1334.65,913700|913708|913714|913719|913732|913741|913749|913801|913815|921385
507,715.47,913700|913708|913714|913719|913749|920665|921385
520,666.81,913700|913708|913714|913749|921385
522,34.62,920665
524,150.54,920665|920666|921385
525,86.33,913749|921385
541,39.79,913719
548,45.58,913719
552,41.41,913719
554,295.23,913708|913719|913801
556,76.18,913719
567,587.05,913719|913801|913815|921385
568,23.33,921385
581,65.05,913719|921385
585,358.23,913700|913708|913719|913732|913741|913749|921385
593,142.47,913719|960439
594,506.17,913700|913714|913749|920665|921385|960439
596,231.19,913700|913719|913749|960439
597,368.29,913700|913708|913714|921385|960439
598,226.84,921385|960439
599,67.84,960439
601,529.57,913719|913732|913741|913749|921385|960439
635,135.42,913719|913732|913749
665,820.43,913700|913708|913714|913719|913749|921385
668,290.22,913700|913708|913714|913719
671,40.64,913719
672,128.55,913719|921385
684,118.08,913719
685,608.08,913700|913719|913749|960439
691,472.04,913700|913749|921385|960439
